Name,Address,Grades,Tips,Sentiment,Latitude,Longitude 
412 Broadway,"'412 W Broadway.,Boston,MA,USA'",'A; B; C','Go here instead of south station to beat the northbound crowd; Inbound: be at the back for park  front for dtx transfers; If you're looking for a great dining experience (and hearty portions)  head upstairs  down West Broadway one block  and into Amrhein's.; Walk across the bridge to the South End; In a country with poorly funded public transport like the USA expect packed trains between 8 and 8:45. Sometimes there is a train right behind the one with no space for you. Sometimes there is not.',0.038730159,42.3370712,-71.0476839
5 Napkin Burger,"'101 Huntington Ave.,Boston,MA,USA'",'A; B; C','Burgers cooked to order.  Asked for medium rare  got medium rare!!  French fries extra.; Patty in their special burger is juicy and tender. Ribs are really spicy. Everyday special thing works only at the bar. Overall  the place is ok but nothing extraordinary.; Had the Korean BBQ with turkey. It was delish. Wait staff was friendly and provide good service. Sweet Potato fries are a must!; This is a hopping place! The food was excellent. Some of the VERY BEST sweet potato fries I've ever had.; The fries were amazing! The turkey burger was meh',0.484627976,42.3468751,-71.0811237
75 On Liberty Wharf,"'220 Northern Ave.,Boston,MA,USA'",'A; B; C','Plantains are yummy; What kind of place in Boston on the water doesn't have lobster rolls on the dinner menu? _Ù÷©; Fantastic cocktails - pictured is the Stormy Northeast. Their Bloody Marys are also ginormous!; Loved the salmon BLT... So much salmon cooked perfectly; Great brunch spot with delicious Eggs Benedict and make your own Bloody Mary bar!',0.256666667,42.3492652,-71.0398056
99 Restaurant And Pub,"'29 Austin St.,Boston,MA,USA'",'A; B; C','Solid bbq this far north; Awesome BBQ; Had the burnt ends last thing on a Sunday night and they will still really good. Very friendly staff  as well.',0.481944444,42.3749116,-71.0670168
A K's Take Out & Delivery,"'1427 Tremont St.,Boston,MA,USA'",'A; B; C','Get the large calzone! It'll feed a small army; Place is Amazing. A bit pricey though.; food not great but it closes at 1AM; A greasy  guilty pleasure. Cheap and tasty burgers  assembled with love and extra grease. Prepare for translucent paper bags filled with fries or o-rings.; Get the jalapeÌ±o poppers  but ask what kind of cheese is in them first!! Yummmm',0.172848214,42.3318927,-71.0963204
Abe & Louie's,"'793 Boylston St.,Boston,MA,USA'",'A; B; C','Bone-in ribeye is so good it's impossible to describe. Potatoes au gratin also amazing.; 5/10 for me their desserts are better than the steaks; Excellent seafood.; Aged delmonico steak with a side of cream spinach  sautÌ©ed mushrooms and maybe any potato side order. Mmmmm-mm!; Every time I'm in Boston I come here for dinner: Bone In Ribeye Medium Rare & the Tomato/Onion salad and I am a happy man!',0.447222222,42.3492427,-71.0816005
Acapulco Mexican Restaurant,"'466 Centre.,Boston,MA,USA'",'A; B; C','I get a margarita with Patron tequila. They use fresh squeezed lime juice and they make their own simple syrup. I however wish they would improve their food. Main reason I hardly go. Same old menu.; This place sucks to the max... management will not stick up for the customer when the wait staff brings you the wrong food and demands that you pay for it even if you don't eat it.  Stay away!!!!; make sure you ask for plasticware with your takeout; Phenomenal margaritas... Go for the traditional  El Presidente; The food is so-so and the service is pretty slow.',0.053888889,42.3192366,-71.1118613
Afc Sushi @ Shaw's No. 586,"'4 River St.,Boston,MA,USA'",'A; B; C','',0,42.2718903,-71.0697097
Afc Sushi @ Walgreens No. 15390,"'10 School St.,Boston,MA,USA'",'A; B; C','',0,42.376948,-71.0655669
Al Dente Ristorante,"'109 Salem St.,Boston,MA,USA'",'A; B; C','Anything I have tried.  Home style perfection.  Staff is accommodating and great. Carbonarra to die for.; Going for 20 years. Got here tonight and the best cannalloni in Boston's North End and beyond is NOT on the menu.; The penne a la vodka is amazing. Perfect amount of spice and creamy. The chicken parm is also one of my favorites; Delicious fresh made pasta. Huge portions though! You honestly could share one between two.; Portions are enormous  but simply not tasty',0.546666667,42.3642076,-71.0553658
