Name,Address,Grades,Latitude,Longitude 
King Of Wings,"'109 Blue Hill Ave.,Boston,MA,USA'",'B; C',42.3212039,-71.0775256
Saint John's Seminary Bishop Peterson Hall,"'127 Lake St.,Boston,MA,USA'",'B',42.3439575,-71.162576
Article 24,"'458 Western Ave.,Boston,MA,USA'",'B',42.3619505,-71.1422134
Yawkey Center Coffee South,"'32 Fruit St.,Boston,MA,USA'",'B',42.3620194,-71.0694942
Virgin Atlantic Airways Clubhouse,"'500 Logan Airport Trmnl E.,Boston,MA,USA'",'B',42.3685769,-71.0228005
Boston Common Coffee Co.,"'10 West St.,Boston,MA,USA'",'C',42.2576521,-71.1163652
South End Formaggio,"'268 Shawmut Ave.,Boston,MA,USA'",'C',42.3431161,-71.0686272
Chinatown Cafe,"'262 Harrison Ave.,Boston,MA,USA'",'C',42.3474714,-71.0625824
Green Bean Mobile Cafe,"'1 Citywide St.,Boston,MA,USA'",'C',42.3493824,-71.0777334
Thomson Reuters,"'12 Thomson Pl.,Boston,MA,USA'",'C',42.3508455,-71.0480003
89 Broad Street,"'89 Broad St.,Boston,MA,USA'",'C',42.3573324,-71.0532338
Stadium Sports Bar & Grille,"'148 State St.,Boston,MA,USA'",'C',42.3593454,-71.05418
