Name,Address,Grades,Tips,Sentiment,Latitude,Longitude 
Gillette Cafeteria,"'1 Gillette Pk.,Boston,MA,USA'",'A','Chicken wings!!!',-1,42.3449071,-71.0545262
Lincoln Bar & Grill,"'8 Lincoln St.,Boston,MA,USA'",'A','Irish Currey Chicken TWO-way!! (Rice and Fries)',-0.46875,42.3533315,-71.0577428
Hong Kong At Faneuil Hall,"'65 Chatham St.,Boston,MA,USA'",'A','Terrible  go elsewhere; Must get chicken teriyaki.; Teriyaki sticks for $1!; $5 cover late night for the sloppiest.; Great staff awesome atmosphere. Definitely go up to the second floor.',-0.29,42.3595975,-71.0537971
Lufthansa Business Lounge,"'500 Terminal Rd.,Boston,MA,USA'",'A','Tiny lounge. If you are unlucky enough to visit during the Lufthansa outbound flights to Munich and Frankfurt it may be hard to find a place to sit. Food is good though.; Worst Lufthansa Business lounge I've been to; Small  Uncomfortable seats & Food not fresh : NOT GOOD AT ALL; TrÃ¨s dÃ©Ã§u du niveau de qualitÃ© :-(!!! EN plus le lounge Ã©tait trÃ¨s sale et trÃ¨s peu fourni donc trÃ¨s mauvaise expÃ©rience. Pas d un niveau First de Swiss et LH; This lounge is a disgrace! Upon entering there was almost no food and only 4 clean glasses available. The staff is completely ignorant. One of them dropped food on the floor and just left it there.',-0.282416667,42.3816475,-71.0553567
Greenhouse Kitchen,"'435 Faneuil St.,Boston,MA,USA'",'A','Greenhouse Kitchen; Greenhouse pizza. Chicken  broccoli and Alfredo sauce. Yumm!; Chicken Parm was fantastic!',-0.266666667,42.3512109,-71.1684039
Lani's Pizza,"'1288 Blue Hill Ave.,Boston,MA,USA'",'A','I found a rat and I told them but they didn't do any thing. Extremely disgusting _Ÿ˜¥_Ÿ˜¥_Ÿ˜¥_Ÿ˜¥_Ÿ’¯_Ÿ’¯_Ÿ˜¥; White sangria is so refreshing; Convenient location! I just found food court of Prudential closed. I stopped here instead^^; Bad pizza  don't try it; Was awesome...baked potato soup is a must-have!!  Very flavorful!!',-0.2475,42.279685,-71.092732
La Pastaria,"'300 Faneuil Hall Market Pl.,Boston,MA,USA'",'A','Mayo on an Italian sub? Make the walk to Monica's in the north end. It's on a completely different level than this place.; I got the chicken broccoli penne... The chicken was dried  penne was tasteless and broccoli? Well that's the only part of it.',-0.2,42.3597994,-71.0544602
Dunkin' Donuts,"'256 Boston St.,Boston,MA,USA'",'A','Best place to stop on your way to the convention center for a coffee!; When you can't get a simple order like two donuts and two coffees right  something's wrong.; Don't bother asking for them to actually do anything less than simple.; The service is terrible; Hot chocolate and a glazed donut on a cold winter night.',-0.172896825,42.320886,-71.0609153
Dunkin Donuts,"'315 Centre St.,Boston,MA,USA'",'A','Best place to stop on your way to the convention center for a coffee!; When you can't get a simple order like two donuts and two coffees right  something's wrong.; Don't bother asking for them to actually do anything less than simple.; The service is terrible; Hot chocolate and a glazed donut on a cold winter night.',-0.172896825,42.3232248,-71.1036012
Dunkin Donuts @ Stop & Shop,"'1100 Massachusetts Ave.,Boston,MA,USA'",'A','Best place to stop on your way to the convention center for a coffee!; When you can't get a simple order like two donuts and two coffees right  something's wrong.; Don't bother asking for them to actually do anything less than simple.; The service is terrible; Hot chocolate and a glazed donut on a cold winter night.',-0.172896825,42.3265749,-71.0650725
Dunkin Donuts',"'9 Melnea Cass Bl.,Boston,MA,USA'",'A','Best place to stop on your way to the convention center for a coffee!; When you can't get a simple order like two donuts and two coffees right  something's wrong.; Don't bother asking for them to actually do anything less than simple.; The service is terrible; Hot chocolate and a glazed donut on a cold winter night.',-0.172896825,42.33187,-71.0733551
Dunkin Donuts,"'75 L St.,Boston,MA,USA'",'A','Best place to stop on your way to the convention center for a coffee!; When you can't get a simple order like two donuts and two coffees right  something's wrong.; Don't bother asking for them to actually do anything less than simple.; The service is terrible; Hot chocolate and a glazed donut on a cold winter night.',-0.172896825,42.3350184,-71.035629
Dunkin' Donuts,"'1 Deaconess Rd.,Boston,MA,USA'",'A','Best place to stop on your way to the convention center for a coffee!; When you can't get a simple order like two donuts and two coffees right  something's wrong.; Don't bother asking for them to actually do anything less than simple.; The service is terrible; Hot chocolate and a glazed donut on a cold winter night.',-0.172896825,42.3379108,-71.1091456
Dunkin' Donuts,"'283 Huntington Ave.,Boston,MA,USA'",'A','Best place to stop on your way to the convention center for a coffee!; When you can't get a simple order like two donuts and two coffees right  something's wrong.; Don't bother asking for them to actually do anything less than simple.; The service is terrible; Hot chocolate and a glazed donut on a cold winter night.',-0.172896825,42.3418614,-71.0864762
Dunkin Donuts,"'1 Harbor St.,Boston,MA,USA'",'A','Best place to stop on your way to the convention center for a coffee!; When you can't get a simple order like two donuts and two coffees right  something's wrong.; Don't bother asking for them to actually do anything less than simple.; The service is terrible; Hot chocolate and a glazed donut on a cold winter night.',-0.172896825,42.3455095,-71.035511
Dunkin Donuts,"'530 Commonwealth Ave.,Boston,MA,USA'",'A','Best place to stop on your way to the convention center for a coffee!; When you can't get a simple order like two donuts and two coffees right  something's wrong.; Don't bother asking for them to actually do anything less than simple.; The service is terrible; Hot chocolate and a glazed donut on a cold winter night.',-0.172896825,42.3485511,-71.0961356
Dunkin Donuts',"'333 Newbury St.,Boston,MA,USA'",'A','Best place to stop on your way to the convention center for a coffee!; When you can't get a simple order like two donuts and two coffees right  something's wrong.; Don't bother asking for them to actually do anything less than simple.; The service is terrible; Hot chocolate and a glazed donut on a cold winter night.',-0.172896825,42.3486865,-71.086555
