Name,Address,Grades,Tips,Sentiment,Latitude,Longitude 
Misono Restaurant,"'669 Vfw Pw.,Boston,MA,USA'",'A; B','Stuffy. Get a whole Boston cream pie for $45 instead of by the slice.; Issue #170 Saveur; Wings and Boston cream pie!; Elegant place to try the original Boston Cream Pie. Must to do!; Steak is better than Ruth's Chris across the street. Seriously  try it. You can do a fixed 3 course dinner for $38  includes the Boston cream pie dessert',0.154652778,42.2964023,-71.1571555
Paddy O's,"'33 Union Pr.,Boston,MA,USA'",'A; B','Not my style anymore but seems like a place to go to dance and drink; Food. Even for kids.; Try the bbq Pulled pork. Its great.; Great venue for live music; Oysters and lobster roll are awesome',0.453636364,42.3611244,-71.0568148
Dunkin Donuts/Hyde Pk Ave,"'1800 Hyde Park Ave.,Boston,MA,USA'",'A; B','Fastest drive through Dunkin Donuts in town. There is usually a line on the street but they are all about efficiency in the morning. Have your payment ready before you get to the window!; Avoid this place! No one speaks english and theyll screw up your order beyond belief!; The drive thru line can be so long it goes into the street so keep close to the guy in front of you to help avoid traffic; Only dunks with pleasant people working!!!!; Keep tight on the drivethru line...help your fellow man',0.054285714,42.2378805,-71.1321118
Mcdonald's No. 4845,"'1312 Hyde Park Ave.,Boston,MA,USA'",'A; B','',0,42.2529031,-71.1245572
Dempsey's Bar & Grille,"'1185 River St.,Boston,MA,USA'",'A; B',"'I just can't get on board with their ""live slowly"" motto. They need to hire more employees; The manager will give you free drinks if you beat your chest and yell ""I squared the Four at Jaho!""; Ultimate favorite coffee place! Scarlet beans are a must for a good home brew!; Pretty cool cafe concept which looks like a coffee laboratory. You can have pastry  soups  sandwiches here. Coffee was great!; not crowded at all  medium level background music. booze!'",0.329090909,42.2561799,-71.121499
Cottage Tavern,"'1227 Hyde Park Ave.,Boston,MA,USA'",'A; B','Legendary Hyde Park bar. Great spot to close out the night at last call (even on Christmas Eve).',0.6,42.257205,-71.124056
Back Deck,"'10 West St.,Boston,MA,USA'",'A; B','Average burgers  really bad cole slaw and pickle. Good beer selection.; Fries are weird here  not fries more like cubed potatoes. Sandwiches are burgers disguised as sandwiches  don't come here for a light lunch.; Very good quality/price. Burger verry good; Wings are great  as is the vanilla-honey ice cream; Love the Blueberry thyme mash !!!! Hot damn drink',0.462666667,42.2576521,-71.1163652
Dunkin Donuts,"'1200 Hyde Park Ave.,Boston,MA,USA'",'A; B','Best place to stop on your way to the convention center for a coffee!; When you can't get a simple order like two donuts and two coffees right  something's wrong.; Don't bother asking for them to actually do anything less than simple.; The service is terrible; Hot chocolate and a glazed donut on a cold winter night.',-0.172896825,42.2578332,-71.1232254
Kentucky Fried Chicken,"'5318 Washington St.,Boston,MA,USA'",'A; B','No tips from Foursquare!',0,42.2578713,-71.160803
Dunkin Donuts (West Roxbury),"'5305 Washington St.,Boston,MA,USA'",'A; B','The tiny parking lot only has about 7 spaces and is tricky to navigate â€” street parking is easier; Annoying parking lot but friendly staff and fairly consistent iced coffee; Had the worst coffee ever; Small parking lot but fast service. Long lines move quickly.',-0.25,42.2586136,-71.1607022
Los Antojitos Restaurant,"'5272 Washington St.,Boston,MA,USA'",'A; B','Great burritos. Delicious!  Very large portions.; Try the homemade fresh juice they make  so good!; The beans have oil from pork fat but if you talk to the woman upfront she may have some vegetarian ones in the back. The make the pupusas to order so you can easily get them vegan (no cheese!); Salvadoran food at its finest! A+++',0.387797619,42.2591865,-71.1592274
Target Pizza,"'5200 Washington St.,Boston,MA,USA'",'A; B','Great thin crust style pizza.; Nice pizza; Amazing pizza at a great price.',0.5,42.261129,-71.156808
Yellowbird Chicken,"'239 Grove St.,Boston,MA,USA'",'A; B','Get the combo  half mad half angry.; The fried jalepenos stuffed with 'crabmeat' were really good! Stealing this idea!; I love the soy garlic chicken!!; Awesome lunch specials; If you can deal with spicy. Get the spiciest wings in boneless with Korean sauce... And if you cannot stop eating.. I'm not responsible',0.263333333,42.261558,-71.1573839
Maryann's Breakfast & Lunch,"'223 Grove St.,Boston,MA,USA'",'A; B','Gotta try the pancakes',0,42.261821,-71.157524
Birch Street Bistro,"'14 Birch Rd.,Boston,MA,USA'",'A; B','Mark is fantastic. Always welcomes you with a smile. The atmosphere is relaxing and the food is very good.; Slow service good food; Bistro Sangria pitchers! Yum!; Too salty!!!; Come for jazz nites. Informal and cool',0.217333333,42.2636287,-71.1585826
Bagelville West Roxbury,"'1630 Vfw Pw.,Boston,MA,USA'",'A; B','Just relaxing and trying to enjoy my time here but the kids are very busy; The only crimes in this hood are committed by white 15 year old alcoholics',0.149166667,42.2650381,-71.1676653
