Name,Address,Grades,Tips,Sentiment,Latitude,Longitude 
149 Eat Street,"'300 Chelsea St.,Boston,MA,USA'",'A; C','No tips from Foursquare!',0,42.376682,-71.031214
163 Vietnamese Sandwich,"'66 Harrison Ave.,Boston,MA,USA'",'A; C','The barbeque chicken sandwich is a steal.. superb flavor for under 4 bucks.; Bbq beef banh mi; One of the best spot for Banh Mis in Boston. Tiny though so you'll have to take it to go; Ready made Vietnamnese meals to go and Banh Mi; Cheap and tasty banh mi  cash only',0.22,42.3511639,-71.0610014
20Th Centry Bowling Lanes,"'1231 Hyde Park Ave.,Boston,MA,USA'",'A; C','#Coffeemadness #mochaalmonds simply delish; Staff and great ice cream are great If there is a long line out door  join in.  You won't be disappointed. I had coconut and ginger ice cream- yummy. When I forget my toppings I got them on the side.; Anything with nuts and vanilla; Khalua Oreo cake batter is da bomb!!!; The best homemade Grapenut ice cream you will ever have.',0.24,42.256814,-71.124124
224 Boston Street,"'224 Boston St.,Boston,MA,USA'",'A; C','Love 224 Boston l Love every time I can go there; Great atmosphere  good food!; Everything good I love this place_ÙÔä_ÙÕø_ÙÔö; One of my favorite spots in Boston. Excellent hanger steak!; Burgers are awesome.',0.7375,42.3222638,-71.0608758
49 Social,"'49 Temple Pl.,Boston,MA,USA'",'A; C','Had the negroni off the cocktail menu. Terrible balance  not worth the $13; House music underground; I hardly have veg food but The veg pasta in white wine garlic sauce is world class...starters were ordinary !!; Only had drinks here and they were good.; Great food and atmosphere. Service was excellent. Pork tenderloin was excellent.',0.096180556,42.3548788,-71.0618519
A K's Take Out & Delivery@Reggie Lewis Track,"'1350 Tremont St.,Boston,MA,USA'",'A; C','Get the large calzone! It'll feed a small army; Place is Amazing. A bit pricey though.; food not great but it closes at 1AM; A greasy  guilty pleasure. Cheap and tasty burgers  assembled with love and extra grease. Prepare for translucent paper bags filled with fries or o-rings.; Get the jalapeÌ±o poppers  but ask what kind of cheese is in them first!! Yummmm',0.172848214,42.332043,-71.092873
Addis Red Sea,"'540 Tremont St.,Boston,MA,USA'",'A; C','I've eaten a lot of Ethiopian food both in Ethiopia  in DC and in other cities and it simply did not compare. The food  including the injera  just simply did not have its authentic taste.; They have enough variety for vegetarians too. I would like the dishes to be served hotter than now.; --I recommend the Kitfo for beginners.Enjoy the beautiful seating.; Memorable place for me and an old lady friend.Service is prompt and helpful for first timers trying Ethiopian food.The dishes are fantastic and the places layout and ambience are soothing and exotic.-; Super fun with friends! Spicy chicken is very spicy though',0.274166667,42.344054,-71.07097
Al Capone,"'80 Summer St.,Boston,MA,USA'",'A; C','Service is good. Pizza is ok but nothing special or memorable. Their white pizza is essential a cheese pizza without the sauce... 2.5/5; Everything about the place seems average. Not bad  not great.; Some of the messiest subs you can find. I love the Italian.; Good sized subs  didn't like the fries to much; Breakfast sandwiches are amazing!',0.345238095,42.3540196,-71.0580886
Al-Wadi Restaurant,"'1249 Vfw Pw.,Boston,MA,USA'",'A; C','Five stars for the food  service and ambiance! The baba ghanouj  cauliflower as apps and the chicken kebab for an entree were flavorful (that garlic sauce!). And our waiter was the best ever!; Vegetarian Moussaka is so good. Really friendly staff. | food: B+ service: A- vibes: B; Very good Lebanese food. Entrees come with a side salad. The mixed grill is enough for dinner and lunch the next day.; one of the most delicious salads i have ever had.; Pumpkin Kibby is the only vegan entree option',0.328,42.2772399,-71.1726342
Al's South St. Express,"'179 Essex St.,Boston,MA,USA'",'A; C','If you're in a hurry  get a cold sub. That line moves insanely fast.; Best subs in Boston; Daniel the clerk there had a problem  taking my order saying she would have to check with the cook b4 placing my order. She finally rudely takes my order with attitude all over her face; Vegetarian hot sub is solid pick.; This place is a master at pumping people through the line. If you're in the hot line  order your food and move to the back of the room. They'll call your number when it's ready.',0.155,42.3520363,-71.0574236
